route,edition,resolution,scale,family,group,name,jp,ko,state,metadata_record,source_component,target_component,target_over_source_width,target_over_source_height,component_center_shift,full_sprite_deviation,full_sprite_outlier_5pct,body_proxy_source_size,body_proxy_target_size,body_proxy_target_over_source_width,body_proxy_target_over_source_height,body_proxy_deviation,body_proxy_outlier_5pct,label_proxy_source_size,label_proxy_target_size,label_proxy_target_over_source_width,label_proxy_target_over_source_height,label_proxy_deviation,label_proxy_outlier_10pct
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,5,28,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6008,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[11,10,91,88],""size"":[80,78],""center"":[51.0,49.0],""pixels"":4835,""component_count"":3,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,88,66],""label_band_proxy_bbox"":[11,66,91,88]}",0.851064,0.928571,"[1.0,-2.0]",0.148936,True,"[85,57]","[75,56]",0.882353,0.982456,0.117647,True,"[94,27]","[80,22]",0.851064,0.814815,0.185185,True
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,6,29,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6010,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[13,10,88,87],""size"":[75,77],""center"":[50.5,48.5],""pixels"":4488,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[14,66,88,87]}",0.797872,0.916667,"[0.5,-2.5]",0.202128,True,"[85,57]","[74,56]",0.870588,0.982456,0.129412,True,"[94,27]","[74,21]",0.787234,0.777778,0.222222,True
base_low,base,low,1,base_detail,2,fief,知行,지행,1,30,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5301,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,86,85],""size"":[73,75],""center"":[49.5,47.5],""pixels"":3975,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,86,66],""label_band_proxy_bbox"":[20,66,80,85]}",0.890244,0.892857,"[-0.5,-3.5]",0.109756,True,"[82,57]","[73,56]",0.890244,0.982456,0.109756,True,"[78,27]","[60,19]",0.769231,0.703704,0.296296,True
base_low,base,low,1,base_detail,2,fief,知行,지행,2,31,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5301,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,86,87],""size"":[73,77],""center"":[49.5,48.5],""pixels"":4071,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,86,66],""label_band_proxy_bbox"":[21,66,81,87]}",0.890244,0.916667,"[-0.5,-2.5]",0.109756,True,"[82,57]","[73,56]",0.890244,0.982456,0.109756,True,"[78,27]","[60,21]",0.769231,0.777778,0.230769,True
base_low,base,low,1,base_detail,2,fief,知行,지행,3,32,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5303,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,87],""size"":[74,77],""center"":[50.0,48.5],""pixels"":4112,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[20,66,80,87]}",0.902439,0.916667,"[0.0,-2.5]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[60,21]",0.769231,0.777778,0.230769,True
base_low,base,low,1,base_detail,2,fief,知行,지행,4,33,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5303,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,10,87,85],""size"":[73,75],""center"":[50.5,47.5],""pixels"":3933,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,87,66],""label_band_proxy_bbox"":[22,66,80,85]}",0.890244,0.892857,"[0.5,-3.5]",0.109756,True,"[82,57]","[73,56]",0.890244,0.982456,0.109756,True,"[78,27]","[58,19]",0.74359,0.703704,0.296296,True
base_low,base,low,1,base_detail,2,fief,知行,지행,5,34,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5301,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,87],""size"":[74,77],""center"":[50.0,48.5],""pixels"":4093,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[21,66,79,87]}",0.902439,0.916667,"[0.0,-2.5]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[58,21]",0.74359,0.777778,0.25641,True
base_low,base,low,1,base_detail,2,fief,知行,지행,6,35,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5303,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,86],""size"":[74,76],""center"":[50.0,48.0],""pixels"":4026,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[20,66,79,86]}",0.902439,0.904762,"[0.0,-3.0]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[59,20]",0.75641,0.740741,0.259259,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,1,36,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5276,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,87],""size"":[74,77],""center"":[50.0,48.5],""pixels"":4100,""component_count"":2,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[20,66,80,87]}",0.902439,0.916667,"[0.0,-2.5]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[60,21]",0.769231,0.777778,0.230769,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,2,37,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5276,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,10,86,87],""size"":[72,77],""center"":[50.0,48.5],""pixels"":4027,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,86,66],""label_band_proxy_bbox"":[21,66,80,87]}",0.878049,0.916667,"[0.0,-2.5]",0.121951,True,"[82,57]","[72,56]",0.878049,0.982456,0.121951,True,"[78,27]","[59,21]",0.75641,0.777778,0.24359,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,3,38,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5278,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[15,10,87,87],""size"":[72,77],""center"":[51.0,48.5],""pixels"":4020,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[15,10,87,66],""label_band_proxy_bbox"":[20,66,80,87]}",0.878049,0.916667,"[1.0,-2.5]",0.121951,True,"[82,57]","[72,56]",0.878049,0.982456,0.121951,True,"[78,27]","[60,21]",0.769231,0.777778,0.230769,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,4,39,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5278,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,10,87,87],""size"":[73,77],""center"":[50.5,48.5],""pixels"":3998,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,87,66],""label_band_proxy_bbox"":[20,66,81,87]}",0.890244,0.916667,"[0.5,-2.5]",0.109756,True,"[82,57]","[73,56]",0.890244,0.982456,0.109756,True,"[78,27]","[61,21]",0.782051,0.777778,0.222222,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,5,40,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5276,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,10,86,87],""size"":[72,77],""center"":[50.0,48.5],""pixels"":4046,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,86,66],""label_band_proxy_bbox"":[20,66,80,87]}",0.878049,0.916667,"[0.0,-2.5]",0.121951,True,"[82,57]","[72,56]",0.878049,0.982456,0.121951,True,"[78,27]","[60,21]",0.769231,0.777778,0.230769,True
base_low,base,low,1,base_detail,3,magistrate,代官,대관,6,41,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5278,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,10,87,86],""size"":[73,76],""center"":[50.5,48.0],""pixels"":3968,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,87,66],""label_band_proxy_bbox"":[20,66,79,86]}",0.890244,0.904762,"[0.5,-3.0]",0.109756,True,"[82,57]","[73,56]",0.890244,0.982456,0.109756,True,"[78,27]","[59,20]",0.75641,0.740741,0.259259,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,1,42,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5566,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,11,87,87],""size"":[74,76],""center"":[50.0,49.0],""pixels"":4267,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[19,66,81,87]}",0.902439,0.904762,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[78,27]","[62,21]",0.794872,0.777778,0.222222,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,2,43,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5566,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,11,87,88],""size"":[74,77],""center"":[50.0,49.5],""pixels"":4303,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[19,66,81,88]}",0.902439,0.916667,"[0.0,-1.5]",0.097561,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[78,27]","[62,22]",0.794872,0.814815,0.205128,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,3,44,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5568,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,88],""size"":[74,78],""center"":[50.0,49.0],""pixels"":4364,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[19,66,81,88]}",0.902439,0.928571,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[62,22]",0.794872,0.814815,0.205128,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,4,45,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5568,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,11,87,87],""size"":[74,76],""center"":[50.0,49.0],""pixels"":4258,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[19,66,80,87]}",0.902439,0.904762,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[78,27]","[61,21]",0.782051,0.777778,0.222222,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,5,46,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5566,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,10,87,88],""size"":[74,78],""center"":[50.0,49.0],""pixels"":4373,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[19,66,81,88]}",0.902439,0.928571,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[78,27]","[62,22]",0.794872,0.814815,0.205128,True
base_low,base,low,1,base_detail,4,county_develop,郡開発,군개발,6,47,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5568,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[13,11,87,87],""size"":[74,76],""center"":[50.0,49.0],""pixels"":4250,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[20,66,81,87]}",0.902439,0.904762,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[78,27]","[61,21]",0.782051,0.777778,0.222222,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,1,48,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6071,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[10,11,91,87],""size"":[81,76],""center"":[50.5,49.0],""pixels"":4566,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,11,88,66],""label_band_proxy_bbox"":[10,66,91,87]}",0.861702,0.904762,"[0.5,-2.0]",0.138298,True,"[90,57]","[74,55]",0.822222,0.964912,0.177778,True,"[94,27]","[81,21]",0.861702,0.777778,0.222222,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,2,49,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6071,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[9,10,92,87],""size"":[83,77],""center"":[50.5,48.5],""pixels"":4651,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,87,66],""label_band_proxy_bbox"":[9,66,92,87]}",0.882979,0.916667,"[0.5,-2.5]",0.117021,True,"[90,57]","[73,56]",0.811111,0.982456,0.188889,True,"[94,27]","[83,21]",0.882979,0.777778,0.222222,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,3,50,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6073,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[9,10,91,87],""size"":[82,77],""center"":[50.0,48.5],""pixels"":4586,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,10,86,66],""label_band_proxy_bbox"":[9,66,91,87]}",0.87234,0.916667,"[0.0,-2.5]",0.12766,True,"[90,57]","[72,56]",0.8,0.982456,0.2,True,"[94,27]","[82,21]",0.87234,0.777778,0.222222,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,4,51,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6073,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[9,11,88,87],""size"":[79,76],""center"":[48.5,49.0],""pixels"":4445,""component_count"":2,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,85,66],""label_band_proxy_bbox"":[9,66,88,87]}",0.840426,0.904762,"[-1.5,-2.0]",0.159574,True,"[90,57]","[72,55]",0.8,0.964912,0.2,True,"[94,27]","[79,21]",0.840426,0.777778,0.222222,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,5,52,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6071,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[9,11,91,88],""size"":[82,77],""center"":[50.0,49.5],""pixels"":4574,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,11,86,66],""label_band_proxy_bbox"":[9,66,91,88]}",0.87234,0.916667,"[0.0,-1.5]",0.12766,True,"[90,57]","[72,55]",0.8,0.964912,0.2,True,"[94,27]","[82,22]",0.87234,0.814815,0.185185,True
base_low,base,low,1,base_detail,5,unit_info,部隊情報,부대정보,6,53,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6073,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[4,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[9,12,88,87],""size"":[79,75],""center"":[48.5,49.5],""pixels"":4345,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,12,85,66],""label_band_proxy_bbox"":[9,66,88,87]}",0.840426,0.892857,"[-1.5,-1.5]",0.159574,True,"[90,57]","[71,54]",0.788889,0.947368,0.211111,True,"[94,27]","[79,21]",0.840426,0.777778,0.222222,True
base_low,base,low,1,base_detail,6,sortie,出陣,출진,1,54,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5296,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,13,86,87],""size"":[72,74],""center"":[50.0,50.0],""pixels"":3835,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,13,86,66],""label_band_proxy_bbox"":[21,66,79,87]}",0.878049,0.880952,"[0.0,-1.0]",0.121951,True,"[82,57]","[72,53]",0.878049,0.929825,0.121951,True,"[78,27]","[58,21]",0.74359,0.777778,0.25641,True
base_low,base,low,1,base_detail,6,sortie,出陣,출진,2,55,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5296,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,89,93]}","{""bbox"":[14,13,86,87],""size"":[72,74],""center"":[50.0,50.0],""pixels"":3938,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,13,86,66],""label_band_proxy_bbox"":[21,66,80,87]}",0.878049,0.880952,"[0.0,-1.0]",0.121951,True,"[82,57]","[72,53]",0.878049,0.929825,0.121951,True,"[78,27]","[59,21]",0.75641,0.777778,0.24359,True
